ID; Date; type; name; number; cost; totCost;;;;;;
163;20121210;Хоз.Товары;Валик для чистки одежды;1.0;22.0;22.0;;;;;;
164;20121212;Еда;Творог;2.0;30.0;60.0;;;;;;
165;20121212;Хоз.Товары;Мыло туалетное;1.0;11.0;11.0;;;;;;
166;20121212;Хоз.Товары;Емкость пластиковая 1.5л;1.0;15.0;15.0;;;;;;
167;20121212;Одежда;Брюки;1.0;368.0;368.0;;;;;;
168;20121212;Одежда;Шапка;1.0;50.0;50.0;;;;;;
166;20121213;Электроника;Аккумулятор BP511A;1.0;168.0;168.0;;;;;;
166;20121213;Еда;Сухофрукты;2.55;40.0;102.0;;;;;;
167;20121213;Еда;Сельдерей;3.0;3.7;11.1;;;;;;
168;20121213;Еда;Тыква;1.0;15.0;15.0;;;;;;
169;20121216;Еда;Творог;0.5;30.0;15.0;;;;;;
170;20121216;Еда;Индюшатина;1.1621;47.5;55.19975;;;;;;
171;20121216;Еда;Куриное филе;0.95;40.5;38.475;;;;;;
172;20121216;Еда;Творог;2.0;32.0;64.0;;;;;;
173;20121218;Прочее;Оплата мобильного телефона;1.0;200.0;200.0;;;;;;
174;20121219;Хоз.Товары;Емкости пластиковые 1.2 - 0.5л;3.0;10.0;30.0;;;;;;
175;20121219;Электроника;Кабель для Nokia 2610;1.0;30.0;30.0;;;;;;
176;20121219;Еда;Моская капуста;1.0;14.0;14.0;;;;;;
177;20121219;Еда;Творог;2.0;35.0;70.0;;;;;;
178;20121219;Еда;Мандарины;1.1;13.0;14.3;;;;;;
179;20121219;Еда;бананы;1.5;14.0;21.0;;;;;;
180;20121219;Еда;Скумбрия;0.6;37.0;22.2;;;;;;
181;20121219;Прочее;Подарок конструктор;1.0;270.6;270.6;;;;;;
182;20121219;Еда;Сметана;0.4;22.5;9.0;;;;;;
183;20121222;Прочее;Проезд;1.0;150.0;150.0;;;;;;
184;20121222;Еда;Капуста пекинская;1.0;10.8;10.8;;;;;;
185;20121222;Еда;Лимон;1.0;3.67;3.67;;;;;;
